Metric,Value
writeLatencyMin,10.241999999999999
writeLatencyMax,75.657
writeLatencyAverage,21.782856435643605
writeLatencyStandardDeviation,14.34728448488011
readLatencyMin,13.238
readLatencyMax,45.925
readLatencyAverage,19.227581818181815
readLatencyStandardDeviation,7.766693318127815
writeThroughputMin,1.0
writeThroughputMax,1.0
writeThroughputAverage,1.0
writeThroughputStandardDeviation,0.0
readThroughputMin,1.0
readThroughputMax,1.0
readThroughputAverage,1.0
readThroughputStandardDeviation,0.0
