readerID,writerID,key,startTime,endTime,timeDifference
0,1526,ZPU4GNCTQK5KH47RTVOBVC0J9DXHLFTOBD9I8PWMDJTNGKHMUC1TF7MSGYBMQ5BGFV8I82HEW4HL7SDEEAH9IKP8GSBW0BE6LROVT0YGUBN720D5C40HAS1OSLFTGX0C,2021-04-11 14:26:32.500656,2021-04-11 14:26:32.540684,0:00:00.040028
0,1526,G5AA92MSRJR7362RP9MYR6DC39SJ3S47V6CURZQDH5IJWNXZ3S7I42GOP152FSBSG1DTJJ9UY5M6YQDIFY74PQXL7807NCJOFYEDAN1B59ZB7XIHJGI3GLICDX2JHTJQ,2021-04-11 14:26:32.541083,2021-04-11 14:26:32.553560,0:00:00.012477
0,1526,PF4TUBVNJTTCK0MZ94AV0N6G2F454LED7YHW8RP5SKQXSMFVZMNSQI18WRER9V0BH5TWQLNH3OBNZXO5EKZTHJKY2782TTS0CFYN43VJMWT0TEH2I1KVCPPEN3NT98IL,2021-04-11 14:26:32.553611,2021-04-11 14:26:32.565527,0:00:00.011916
0,1526,IIQ1M4TNJ5OVWTTB9SPA227FU0OJS0SG75KP3SGA7AJGKEM4ND262FUF0V6421VQ2SVO2FQBRMXX7RDF8P2BQT1WL42Y5YFJKNDK9DLA3D6L39CFA32FV9UR1WNVIKXS,2021-04-11 14:26:32.565562,2021-04-11 14:26:32.579092,0:00:00.013530
0,1526,O9U456CW2QR7IL1A7NB5LT9FK21WNHVU74Z3Y3VJWHUL28MRB3BPRWAB36PIED9ECWO7OJTW1JZCAKV2E2JBB4HKTMHXD6OYOKSGXB2HA0UMYWH7XOV0NEJEBFQ82C38,2021-04-11 14:26:32.579129,2021-04-11 14:26:32.593159,0:00:00.014030
0,1526,RB6OL28HIFLBLRZDEYKEDAK8ZOKGJIS050M91VC9M12K8J1OUZOA9T4VHLLV39V6SLJJWGI0X70LA1B7PEHDF0CJNKF8G74CGBIPI4HWPKGD3MI2O8EIYGJCW2UEH5NA,2021-04-11 14:26:32.593211,2021-04-11 14:26:32.605343,0:00:00.012132
0,1526,KI1EN37S01K5DZ3JPL5RZ9B5LXFW5L93YGINGHVVIG2UMMCWV502HVX1D49VNW27HCEFTQK4D55LUASLCW7AHQET7OO3RRUZ90Y6Q7SL5CJ99S24RIRJRX3TAING7RPE,2021-04-11 14:26:32.605422,2021-04-11 14:26:32.622649,0:00:00.017227
0,1526,6CLTWVSBUP3XLZVSM2C9WKQ02PCEGOFBD0TCDUXF44WRMWQKX7NYZXEYSZQGRBRNEG6O1VCPPYVCFFEXAO4HN57PHDS63IF7H6ZNGITYQFBL7QOPOX9RDO5ELQNXRYB9,2021-04-11 14:26:32.622701,2021-04-11 14:26:32.639376,0:00:00.016675
0,1526,XQF1BOF4CAI1NL9Y2ISUHAGVW3Z91P2I3M1NKWEKRBOCEV0FE0VLCVLG0FPLNIBJ0PLJN4SLPT1R3112V9R3CFRFJ9I9M1PXSZ5676QWLFV29Y51CQWZ2NYTIQ5U81JZ,2021-04-11 14:26:32.639421,2021-04-11 14:26:32.654624,0:00:00.015203
0,1526,264G35913QD5X1LGBKR1PR4YLAL3W77OOTBAL66RZMW730GIA1RQJB2BZJE6SXSIZCVCBPXI88FUMI677B3BJ91XN2382ISJP8Z4TY07I5K9VLUFRLZP64ZEVMZBHA32,2021-04-11 14:26:32.654671,2021-04-11 14:26:32.669770,0:00:00.015099
