readerID,writerID,key,startTime,endTime,timeDifference
0,2513,0VY93BD6WX0FV7C76HA3J72WU3KBBPY4KJ91LYPVY4REG7CK4HW864Q0202NM2T4MZ3S2NDSGG5POHJWJQH38NNGKNXH5S41EH2T6ZQ4HN18APM7ILBVJBNW2HFI6EYWP0B6B70B2V3CC88ON16U9FNLX4LTFQ9401T578NL77W94E8H5EA5Z55HJC9VB8GPEZT87OBHGKDXW7SCPQ5SX1KWYOHM36EMJXLNH6PMXR67HY6A3SAV0FTPC3VHJJJ8,2021-04-11 14:27:27.535126,2021-04-11 14:27:27.574409,0:00:00.039283
0,2513,8M8Y0S6ZCO0WLA9UV2GLMR6Z4M4V29F37YG6C5TS703YBY8YN02DZ5HYNR41CH7T0ZMK4AHNF67PZ4AOCV120M13DYP0DKIA597Q7JAEDO5Q9CF4CLL884BRPI0TUGDYRXZ42EJULHKJQ746WYCJSDCASSC4ANUKBRFMDDI6YLTX7WFIRVQWV6MPTXOFWYR4ZFZ9FGCROOMEJ9K2CVGNW6RQW5UW5QF3A1J9X3VHR00EME8EIS49KHHC992EFH65,2021-04-11 14:27:27.574675,2021-04-11 14:27:27.588171,0:00:00.013496
0,2513,0SCAHT8DL74L25Z30NSKAL686LC61J70H0YFUFIZMWW4OF7W205JBHVHVO9E63GZAVPBG3A7UKJ9YE7QHAWZBMDQLPOT4GP6U7ZS8SUM1ZW0G7DCPVT3HZK66VNNLUDQE3ZL8GB1G8EYLKK3K639J38GB91SLN41EAUWWE2VKU33QG4BKJQEDX83YQSYJ6J5BYHKA13AM4SAKXY06VZRHNI6T6OP6Y0D6LAX4KAJIIVUXLZWPATLPZDW5I9OJEZ6,2021-04-11 14:27:27.588219,2021-04-11 14:27:27.605294,0:00:00.017075
0,2513,NWMZALW3AJTJM1K8ZVV0I2WDVNZQRYGKYX8RPYCXLGMNHO64Q2LHG35V16YBZYH5S520PAS2I76LC1DIG0F860BULK3V4JHV3HD7ZCUYY4Q8NSMGJZO63MJCF8PHSHNFC9PAYZ72ZKAXUXYSWG23WV753CRXRPRQBU04O982IWTXM6SE059UYE6QRW0846NKNI7YPPMH23ZMDVD125WKW18ABQVBND2X5PTQ5SAKTXNWCX1V2M2TZKTNMU3J2UD7,2021-04-11 14:27:27.605348,2021-04-11 14:27:27.618819,0:00:00.013471
0,2513,1EPGHGJZ96Z6YRIGZEZWUOWPQDMMY437RROKOHIKNXX9HIUCKC9EG370AAU71PWCBWIQ7523DGUOYKYVXTPV1L66G7COR1N8L4W1CQN7O2CJAKLW84KTKXQRCEEH39E9SL3DGFARYY1PA4I53XHUIWGF42HO2CRPV9LTT7V48D1LLM7CB2AN00HY17YUI25NTUBWABEEOPL9OIQM1ZSH67VKCIP2IR5OJ0KL7PQK5453IXF2IDWX5SNJ8OV6QF44,2021-04-11 14:27:27.618871,2021-04-11 14:27:27.631442,0:00:00.012571
0,2513,DUXPAZ7SZMCVH246BYSL3FOSQNRG41K6Z6SC3FYL9BBERLG38SE550GOGE99WMY3TOE7K00UA9NGTWJHL9E9LR6QFFLQSC4FPJZQTM7KRSFWARJPR84CQ1IH0WMMJR3R0IEO240MC45VFGIV1Z2EMNW20AWXJB7B1O7P75NY0P891GTRNW81PP8W4QYC3KUFWP0H6NRMN0BZUWXTXTJTSH4YMVQU710O95MSV2PPI57R5DNEAGPKVEBLUOUTHL9N,2021-04-11 14:27:27.631493,2021-04-11 14:27:27.641809,0:00:00.010316
0,2513,3F2WKMUTI6PBP8R6QROZ3SR1N33PIICQFLN2777429QRTSJP5HRBI7R5CSFN9A9TZ0R6KOWVXMFSWQO6Z7BW7XE3KI82JQ505GW8JPGU6TL58OU8DL0DH1GAXS8C7P4YY1W2N68W11XRFQS6NZ64DY3B0FC05Y5DFO880B7ZTVQXHZUPF263A6BJ4J1WSMSQAIOSL412ZUXBZM2BPA50YQBFF2CE96JEBJDKBXPC6JM3RB0TDPA8NW4COXW4JXNT,2021-04-11 14:27:27.641848,2021-04-11 14:27:27.656136,0:00:00.014288
0,2513,SPTQZ19H8ZB9BZ5P1YZEU5QIP7SUHR3ZRSGXVM79D4QTTY0WA2LR19T422L11B1NZJEC07CP6610MDA44J9DMG0IYBW0NCZLA19E58KIABT6IYNFJPV2SF77J8AVNOTWQB14E0YH4OZUNAHZ9B4UKXPR4J4BTQS1GNRAQ1G1CMVRF050ZNHWXQ4MZ8NZETR7KD3ZNQ7NEHI4BW2DSFSVIE9SF2DYTU7GRYP6KCV2KWVAKC4QWWE70D4GJNY26ALP,2021-04-11 14:27:27.656174,2021-04-11 14:27:27.669433,0:00:00.013259
0,2513,4XFR78392HW1YKZQPCK93ZDMPZRU0Q9ZQ9JLBXUCEBXJAV8UACWVZJL2T20DEO9SI6WXBFSOBQLSHYJNGV7YOVSIRQ3HXFPWLNCFL941PZGFSF9O6JIEQWU4RC9VEFM13C161394MMXSVNP6TDSCOWPIWYT4FRDZG1BYATH9I3YVVXPRCP1X6KCCYGURJ75N9XYEKO9GEBCITFIN6KS05G3A8U8C0S3ZEMEADSSB5GRCDHT1HRRNJ8F2NUMV77MU,2021-04-11 14:27:27.669554,2021-04-11 14:27:27.686514,0:00:00.016960
0,2513,WKRKKHTY8IVCWKWQE4ZLIIR35H0WU0JL90OJJNL10L6553WVO2KVGCN5TO9PMWCZIQMNJJVUN7D1L1TM9Z19MO21T5Q52EWDN03M6II4AE7O7L84W6W0S6CAK7UFITQIWDHN7BZA5IGI5KIXKBHT0EFN1IHLO5QB0TFWQ8LW40QTJ72OV0SJH6E3RELXQ263VQSZNV660AYJ39K5N3BZUMRP1DYK6GA0YJTLP5A4KSCBVTNEZUUWUC6QKYV08XSE,2021-04-11 14:27:27.686555,2021-04-11 14:27:27.700106,0:00:00.013551
