readerID,writerID,key,startTime,endTime,timeDifference
0,8957,L8A0KXMFF4IRZWKUYEM74T4YOVAE93D7759EEI9EG9ZT0JOPU60OORT1U826QI5J09YPH6LLYTKP7QMTCMJGVPS9IY9Y383HZ3JKT4C5O3UX44EP13B1SJLWKNB1PCC3C1LXP00FUP7MJ5JB929XZ0M28Z22P6YLTKWGPD9ZY1QZC16MQ1BEI4MAK8MSP4TMIDVQT2UI5R3ZC9R5XZIHN9WHYJ08MALUGF2CMR369TJQ1C60QN0V9W2QN8R0D897,2021-04-11 13:09:06.985721,2021-04-11 13:09:07.024855,0:00:00.039134
0,8957,PG1KYBLAI6BRI42JN8MFLR6Y87HXNVA5MCEYM1GOTV4MCZFRBVORFEBC3SI0I57YT0QR5UY45ICEUNFNMA3K63XN33I4W916TTNVA0MXND6C6Y3Q60473I03OVIJ59T544ZH82NN11NKEYWDLZFT8KDJRZW9E74AIOXFPXM06I814C0CPZASOC9JSWVSTE52FNPA6GJL8AQJAKHCFFKWP5144J6O7EHZJCX1IY1VKVVXPCZVMJK3862T2LE17G5V,2021-04-11 13:09:07.025095,2021-04-11 13:09:07.037045,0:00:00.011950
0,8957,LDAJTB6UMEVCH0O8YZQP8D3DU87SSYNAUZEVZW96UFMFXU7LBNF6B6GL47ZOOVGBCXKXWRZZE4WII7T8KVI70DVW7AE66Q9TUOKYBCK3MODWGY51S454Y55YQ3H2LHXLN9JU7LVU47XS01M6YCBF54JQ2P8D7W961LTV5GOHOAWK520VIXKYZEYJOFWLZ4VGWJBCB74Y9H5D1H295GBVKXPM6DECWCPRS1415DATXXAL96VPB1OHPH0PPBOB5H9H,2021-04-11 13:09:07.037085,2021-04-11 13:09:07.050515,0:00:00.013430
0,8957,N2QMUY6ZTNHU34UWSA37J52LY52T2JTHXS9I3H5T5LPIU76FIY781G55CS3Z6W4FPMMVN8SR8ACD0WGS3EFBEQ49IUG8J64J794QGY7EW8P29JJI234538BANXDSWBSAE6KIA53Q9E9OPIB6YAYR4AB1MVXYK6WMPECKM0CT5L40IYKTTJBZKVV4JLE03VXVF2TN92RURGEFR8Y72NT1UVCG0QR9B8IX8A6ZZVVZJPG87A2IQVJX5Z0NJNN5SLNW,2021-04-11 13:09:07.050565,2021-04-11 13:09:07.064613,0:00:00.014048
0,8957,QSUN14EHQF01CYC7OU9NOD7P6MLWOXNNIYQKHMKBUOBZTJGE52HG9XZYDJHL14LIDUPSX6PKG3R26NBX1EA6Z5OALCQVHZEEAY7NSUVBIP4K8UBIS9CBJY7ZMU3SPKK6V4YCE9OQ2ANPVX33ZB5KCNNEO7DNXYFQHY1XBSDOTEN4V7BMT0TDQLMMR66IKM2W8C5T5G06WCIDCLS4RJVOVBP4A95DM7MDW2F2HRH714Q4TU22AIQY4PR4FEXMI1OU,2021-04-11 13:09:07.064657,2021-04-11 13:09:07.086412,0:00:00.021755
0,8957,IIGYY1MK7YV5QM5134DTRPCGJ9KJTHQSQTN119QMU1Q6AKLN3MNAM7HZ6ST5W8WFKAENZHKQ73NM7UK4RFOAO8M92C9LHNYILHGD51NF7QMOYLLHM0YL2GX85BMHZHPQTIY8XTWGMN5NSL4VH99XRD6RS2ROKUGFKTTUQ4SR1LXLECELZM9YMLE7YH9QJO3WCWQD4G923VVJJOONN3SXBVT7MPFPBJN4N2RKHQ4TDYUUIXM1Q4YP60ZUWGW3OFZW,2021-04-11 13:09:07.086463,2021-04-11 13:09:07.099721,0:00:00.013258
0,8957,DU41CVKDMOBC3QRXB7NJQ0ER08VZRO6OKQ06VPTLT6SWPQE08T2ZF6824H2LMHHO5RLCCGA4HZ78EUD0T4V3GR58S0ENUH5FE9ELTDTVREI2ZFWBWYCQDG3MR85X0YETDO9IRI2HWWE63XYVFJXB2N7M2NNXAJEZCWX8TQ6KTSHIJ6M17YLBRMEGX2N0BOUGNQW0XX9SRBKMHE2FRFQKV6AECYJ8X6B9XJ59K4UUH9C7RVAEHMVMYE5UPZF69E9G,2021-04-11 13:09:07.099767,2021-04-11 13:09:07.114381,0:00:00.014614
0,8957,C1KX65RTIE908JPSI97QIY8GKGCT0IWA8JXIFU2K9XBIS8DFBQ1XRALJ2B47REZI2Y37CKMW3F52529S5DKSQRBR7HAEA1NLOAH2GUIKQUIGB716B2TMTL1F26Y3HU5KKVRGU2KA8ABY7B4G146FKVWOEFD7HB1PXWO4NCB087E73LJAIGT5I8KYH1UME5BL7G7N73T5YPFULIHR0Z72E0H90X0A22IKJGIWI38VIRZSVOI4TKKE1USJBTZ66I1U,2021-04-11 13:09:07.114429,2021-04-11 13:09:07.130172,0:00:00.015743
0,8957,6ZI5BGX4F6GL4XQ8WBL68ZKZ5AFFJXXAQVQI0KC6HEIC3BLGQCHZSXW7LU3Z07BI20PS60Z7BDPQOHQQ9SG4IC3UO1R9TYT496F81CRQOC0U6S3NJ5DID1EEEIQV16X9EQGLICP245ZKGBH7LGA6EYZICR8IRZRUPDE0VAQDAJ5R6Q1EJV3V9D4IO2S8V8EEASA26QEYC5K82H0U24RNXU44EIH21GYV8WM1OEO52N9L2IDXRHJHPOW3YW9YGWO8,2021-04-11 13:09:07.130231,2021-04-11 13:09:07.146817,0:00:00.016586
0,8957,H7MNS644B20EX3APBCYUMJONASGNOZDLPV6CVR3C80GBBAXEOBUZP8YF27EQEY6V4LPF4AKW0428C95BK9HN3DFYJVMCHJSC7ELOOA2ZEA1D6GN1B1KYAK22N18URIM9Y0QZW7BRUBSP1SA33BEEYQGWXVSFPNM6PNN88XC53O39M8U9AOPEPJVRI9EKCV4QK62BGL5FRBR8JXCX0GJQ06I9L2B0UL1YHVMER557AAY7VOMPE6UFVQ29COZCV98B,2021-04-11 13:09:07.146893,2021-04-11 13:09:07.163775,0:00:00.016882
