readerID,writerID,key,startTime,endTime,timeDifference
0,2480,6DBBF6S5IM4PJOIZ2D3RJPS1GDCCBYYN4Z7SV3PZFLMLR1RVIQBU17WVDZN4S5V4RX4UBU7K01OCZUL860RF4IYZJI1KWPYBCWYWTFU6KPV07RD2L13DI2N9WZ5WRK3XHZ9M00I0L3DR0ANCALMWSKZCV5CG06BCJ42XXQXBIT1VBKGL6CH9GBMK3L2GFJI31A5DX6JG1H5XPLSWDF8E17QNLJ61DVEITT05Z9TA7I46U7IOAEX9Q204PQKG71YOJZGN1Q7H5EMJDY87VIH440FSA71N05J4JP9PLVP9L4EVTMCXQLOA14LD8T0MDO0UQ9RC9K52XPQHZCFX9RMVESY6CK1WXJ8PVPMAS2V2XWRBNPZGJGTLHMUVQ9C4GXFSKAIOCTYL2N8965DGQ8Q6JONRD8N1MCV72UEAZ6UKVA2ONGPIFF5H7KDSUP6YWRMZKX60QS3NUAYFXXB4UDNSEA7EY6YORUT326P89AK7HICPXPCQMYCG28E5AHGNS4GF,2021-04-11 13:47:06.719861,2021-04-11 13:47:06.755085,0:00:00.035224
0,2480,53Y1YQSMIT6QTN419W4TATZJ7O7TUWF6L1EWRR6KT5PWU0BWCPG11VB2L7NPHXYPD646HK501BVBNGBGYO16JSGQTT388DIGVLD8YW9A3XOZALFEPLJ9YJBNC5EJG391Q84RVSUTXDEKN62TS90DFFNB3OBI9QZQ5BVVST40ZXOJTUNZERXEFL5U5CM9QDAU6JGZFYY4QQI6PMR9PVPEY178D0QMS4KZ5O9HDGMN876WNWT4DI9PLAI1V28BV9Z3H439DVV4PBQAW7UF3GIJE4Q1EAG3V7XBJRCV1E63LIXHWZ4U906U72Y6X6NNVP323VNVQ24IX2UMZDJDFRV1JVVP0WRFJ4T4YGS2CJ36UUCUJKZCNG81Y24LSROA1XOUAZ9NRTMTWOF6H6YHKDGBQDZB6MLSK84WCEHKAG5FZGNVEYIK9LKEEF2547ID5A7HDCIHK0CBY1ATZYJ561S602VE3IH3H4ZI40W5QURPJYUL8XB9718DIP6HR7P1JB6Q,2021-04-11 13:47:06.755363,2021-04-11 13:47:06.770518,0:00:00.015155
0,2480,Z0XDT839DNO50RA2JKF1XV2YC1562Y5EJAAO4BOCCPQU4N8SRSWWYHK9S05V9LDRNA9O8JYD84DY2UT00LC7MYPEFSIHTECPNC12Q01R6QXOSK6QNIPJFYU3TAYY6ILAFMDR50GDUK8BQDGWG012R9KVA5XHDD8CHS2V6UZUPVWPNOR1735IGAIT3A5CGOX86Y8SYML946G8UO3MH34JF232R7AIWW6XX5GGJ56KR1S756AEA6IOV4JA02MBCL5MEWKDX3B1O988C1VL66W20PD2LNE962FTWPZIF9LE1OELF0LFLVSMGVZGJVQ801EC6Y1ZQJ9O50HMLEZMLNVYOCV22HEHTC7MRT3X15R77MJZYFOXHMIEH12JR78QVGY5NMOTJHMKI360069VMRPP6QFOSA802FZ8RE48GS9GGAWEJ0IWEAR83Y8PKLGPDLUNDHKKRYMG9IUYZBKUYDSQFIO80KUCCCPOHYEFJXEVIRGRBOLH3BB5CWV5JCKAPGSE,2021-04-11 13:47:06.770579,2021-04-11 13:47:06.784499,0:00:00.013920
0,2480,2AA0VWOSSWNB41SHGTYS75X1SWXZ6B7JGC6P8LVMYTTCMVLY42YR4K86VNOCV2XBZX64Z4VYEZT8ZYU5W9I81C6DI20ZA2R3LY5I6DEZQ9ZTJK47BU57CG2GDXQKCEX0DTS22T8P2O78OSWVKRF5I43PSVPKR5UKTTONY88QYLBUT1J0U7VHIMENDXKGY6E8YOA9R8HQI9HHZOO7KFSPED3QK91MOZM24IPZ5Z6ZHNZJUH7HHANK1UQ3CNHYMLB5ZQW5LS339RAK70CQGCBP1QDDAWXMW3A60G9DEKQMMTDOR6TROCIEFIKOT410IRWQP20817R3JCSEA1NE7HBFDTGK4SWNSRL28AKBNHVHCFNPIRDWE9VL5GY4ZEXJWT1A2ATE0FE6W9BOW083309WK3H6HW4KTXOU5DIUF6CICYROK9S4UW7HAIGCSR9ZVS73ZYK4GRTUDOOVVTGXI6CLXU84A1RS1QFZDQEWG0WJJYJDYT90Y22QEXG5TQFZ7ZLC,2021-04-11 13:47:06.784551,2021-04-11 13:47:06.801613,0:00:00.017062
0,2480,BFLGK1YHNWN0RU2CCENXJR4SPRBHUUDI9BBCP42TNDR5L0OEJYTZ6U3IV8WK6XCL9HEOKDCS46M4Q60Y66ISBKBOH5QMJQ5D2KS23KTJV8QISJ9QEHE9XY99H6QWJYLD2FSCTBLA0M247KF8DA4XRGNMN70SMO5PU4RD1H44XAF9617OXLI56LOXO74E0UN0C5MJ326CO8CR1ZYA34T6D6EZHDX4HN9OOVWJDRX8R4LL23AXYTL4FF4W3MIYOB85STPSDQ0VV162DBG6OHCV6WUYST1JN5KNHSA57PPG9P23I8DU0FBD7F8B17MQMWU4D8C46LJJLOE36TVAT8UJO6NIABHZLJDM7OGX003G1S21MD4PJ9TJFAJH9R8MOY39MEJ2OMGT2RSFDRM9899RRWS7X4USR1C5S5M1YMQTM9O254NNEJGTRRAM6AQXPCO5SS0RO9YMQ4E6KB4T3GGG03Y47QQDNF2Z000APHOZQO0B6SOK9BD1OY4MQH6SVVYP,2021-04-11 13:47:06.801669,2021-04-11 13:47:06.815572,0:00:00.013903
0,2480,FJYDU1OT6SU95KKDZ59F4JK4T8WT49PQ05RRA4CDFWUE6BLTDJA3023J0S7RF8IVY4Q6T7DEQO4RGWVNP7CDY4QPLXL50WWOT2INNR8BCMYA0YH28Z8BHQYIEQE13LJX8AEHHVEJV1I3XE8ZBSY2KPNTXRHCSU5N1FO14D77BHD4LFB3I3SCQCL60QQH0JLE9I52KI04NLYZKWX0AD34TLHLTCF278K0OXDMZCPFEGUT4VXPL5HXPEPYIP2DP86QNO4BJMR9O0K1RNM98YWWYPHPAFFG2JM1TWJJOJAVBU58ZNW8XPG9T72SJ0M94LH4PHKEUDI9MOJ440LBBNDHG3TKAPVSBG82MZ86HSH74H5EYUBL5JWLKPJ8JRXUOT3P2QWHBA7OI0S0CEBUN301OUU9FBU16NA44N63KMEDCFYG102HLHICYXSDF679F7DNSLPIBYSLC1VJPB0KHWNSZO0SD3HNFWZ0XEZALP959Z62IA3MJJ8B580WXQFDNGKQ,2021-04-11 13:47:06.815623,2021-04-11 13:47:06.827573,0:00:00.011950
0,2480,LWNKGO28FXQ75HPUKZDGOZUIYKQNVP285G5J2UDCG9WNYRUF30H5TL7GMV0O9AXG21DC93NSNNOWIPPWQ92DQ9ZEK1UUSNPFYQIRY0S2OAVO61F4J017Y3KJO5JKG6JIF5R5L6V681FJMVZ2021CVJ5UPATHD566NKLNQSVYVQ8CIM0O1KM84PZVCGHG7LQEBQ6S9I9LTFUAPYSWZNB2PKEV92X630G8O9RAPYP93YYLWLC55V716K3EIZ2F88FMZPKDNO14ZOUQECON8DFI45ICBLDRMW6V2M1XR3RR0TY5UN2X2BE6HVINJ8NGDSHGMT1C7QMPCK05O20E1VM20P3EAV9B398Q9AR7I9NPMGHOC7V7N4C6NUCVV2F1BTXQG6T74ASK67ZXGA37XUFDDCL2VDQPVNKS98E7DF0KPMARCM3WEJ2LF03QLDD462G8VLBLTZYYFP655Y06MPGNJL8KOQ089C2UNL509IK98QZ95AFQVWTHGHQS95N6LHGD,2021-04-11 13:47:06.827611,2021-04-11 13:47:06.842512,0:00:00.014901
0,2480,Y14F82PV7B9Z8HKHYNPD2OJDHZJJWJ5QARY3BF1KGJBINP9WI0NIFNINB7SOVQK00BXRT0MNXRCE5ME18D7NMCIPXGXGSDVU4ORF6OXYJCX297X673FVQF5CRV9WTBTL113630R88PVTQKJ0N86DJGMA3QA13ZDH0V69INSDNH8XLCP2ZEV3T96RS0U8JQIWUV5RKWV8L2MKBO7FQN8EPYC4MLB2RBXGCMJQK3R5BXUMFC3QBPTWDWJGXVTO4Q23MJ1TFBPIU1BIIW3IJCQ3KQ9PMIOM9QWD4CD9RWM93ULO9ZYR1EKH7XEA4TJRDHG9WBKRUKUUJUXARTWCFD68T3E22THEAEVQ3T9NMYTTDMLGZJUOKIGU50KU37MZX57CWSC8XFYC4BXKTRGPX075D5TIM44MD59AHZFZGFGW02CARSIZL5PVYHG9QUIX9HIB1CJJZ6TM6CD542IAU1GPIFEYL2FV5I2ZJA6969FSK7Q1N04Y2N9QY9IG88QHLOTI,2021-04-11 13:47:06.842624,2021-04-11 13:47:06.859636,0:00:00.017012
0,2480,AKQTATQ4F07C35TPF8ZOW2ETJPFG4H43WJX4IS8SSWBA2HV3TSF0PQJZKC7IBFCV66EI1IL8J1VKB25HYP145OYAOS1RIWUDB6I716V0W7W8Y4YDICXGO64WUS1F6VTFQR6MMDNITBVWY1V9YURD71ULUAOSJGI907G8A64P4RWQDKV37XKZ64UU8EW6I0JS6FBL3PE9LMXQC367HOACZHIS8SWP7L4QKPRTTH4TS838SVNFLNVUXP04E3VMJ3GJQ739O58WOQZ0KEPD9S9652QZY337RHEOD9QMUB4LNNIT2GOHPQE3NXD19PMCV7LT0BJAIERSM33ASLUVHDAZE9NELGKUM93B5OP9WMA4E73V8PKSQ3DX0G2TP5L2W3R5M8JGYLG5ACRNQHD7B8XZ290AAADMHLZGDPFVOOPZGE98AGSH5XRYYEU5IV8KK9FTM0H31BK5PVHT84YWBFYF4HCQ1QG8UAX9YB7H7EC9KNOJWNQU56I2UIDDSPM7QU26,2021-04-11 13:47:06.859694,2021-04-11 13:47:06.873274,0:00:00.013580
0,2480,ZXLFYKNQKS48PMT3OZGH7RDF9QRMN0J87T3QU1GQSFYTP3DMGGV8UMVB5MZYS91P8K4AJUARU8PDP2J7V0MSXMNOUGS5L1480IPESDGVIYL3MQJPQEHFSLZ5G8UVCYGLN2MQQW1NBJELVZ5KVZEM62TKXYL43KHQEAFAU7VQQRB57IXX8KQKE41M5NUZ6HBN4JOROZQ2Y4DSIXEGWZGVPTTBYG0M1SOY3MD5LFYAZXGKEW0674JHZC38VQLS8QF5P5UX38NZCUDZWDUH5Y3YN3M15YBAUJAN2YM23JBLB9L6I9CKH4KOFX4NDL30VL9DQ8RPLXQ8H9QRF6H3N56UKHUJLMROWDXYYN094FG5R2PZKWMHX4OBRB1D7QNGS86LKXIQ7TZLXHE2E4X2PM1ZW68NHKTYWI7YSQB5BIHNG3SSSHJSUTDETUGJ5E8E8QCY5GZ2TGDILHYDIIQ3D6TB9UXW97YIHZ4MIM6HWQW60K0M6SWWXRWLZ9UJJ6EWK1V7,2021-04-11 13:47:06.873396,2021-04-11 13:47:06.884352,0:00:00.010956
