01:21:45 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:21:46 AM  1000     49161    9.00    0.00    0.00    0.00    9.00     5  python3
01:21:46 AM  1000     49163   78.00   10.00    0.00    0.00   88.00     0  java
01:21:47 AM  1000     49161    1.00    0.00    0.00    0.00    1.00     4  python3
01:21:47 AM  1000     49163  218.00   16.00    0.00    0.00  234.00     0  java
01:21:48 AM  1000     49163  284.00   15.00    0.00    0.00  299.00     0  java
01:21:49 AM  1000     49163  135.00   46.00    0.00    0.00  181.00     0  java
01:21:50 AM  1000     49163   52.00   50.00    0.00    0.00  102.00     0  java
01:21:51 AM  1000     49163   58.00   46.00    0.00    0.00  104.00     0  java
01:21:52 AM  1000     49163   52.00   50.00    0.00    0.00  102.00     0  java
01:21:53 AM  1000     49163   48.00   54.00    0.00    0.00  102.00     0  java
01:21:54 AM  1000     49163   53.00   50.00    0.00    0.00  103.00     0  java
01:21:55 AM  1000     49163   52.00   52.00    0.00    0.00  104.00     0  java
01:21:56 AM  1000     49163   49.00   52.00    0.00    0.00  101.00     0  java
01:21:57 AM  1000     49163   50.00   51.00    0.00    0.00  101.00     0  java
01:21:58 AM  1000     49163   57.00   49.00    0.00    0.00  106.00     0  java
01:21:59 AM  1000     49163   59.00   50.00    0.00    0.00  109.00     0  java
01:22:00 AM  1000     49163   49.00   52.00    0.00    0.00  101.00     0  java
